Baseline scanner findings on the 17 unmodified Anthropic Skills (no adversarial mutation).
Source: <internal-path-omitted>, parsed by 02_parse.py.

Scanner                                           with_find   frac%    mean   med   max   total
--------------------------------------------------------------------------------------------
skill-security-scan (Total Issues)                 9/17       52.9%   18.18     3   190     309
skill-security-scan (Critical only)                9/17       52.9%   16.35     1   190     278
Snyk Agent Scan (HIGH severity)                    4/17       23.5%    0.35     0     2       6
LLM scanner GPT-4o-mini (finding_count)           17/17      100.0%    6.82     7     9     116
LLM scanner GPT-5.4-mini (finding_count)          17/17      100.0%    7.65     7    22     130
LLM scanner GPT-5.4 (finding_count)               12/17       70.6%    6.65     8    14     113

Per-skill highlights (skills with notably high baseline findings):
skill                         ss_total  snyk_high  llm5.4
claude-api                         190          2       0
mcp-builder                         28          2      11
skill-creator                       35          0       5
docx                                16          0      14
pptx                                12          0      12
pdf                                 10          1      10
xlsx                                10          0      11
algorithmic-art                      5          1       9
